"DISTRITO","UNIDADE","AREA","ANO","MES","PRIM_CONS_ODO","TC","PROCEDIMENTOS"
"Norte","CS SANTO ANTONIO LISBOA",1,2018,5,26,11,244
"Norte","CS SANTO ANTONIO LISBOA",1,2018,6,30,18,438
"Norte","CS SANTO ANTONIO LISBOA",1,2018,7,22,15,228
"Norte","CS VARGEM GRANDE",0,2018,4,3,2,84
"Norte","CS VARGEM GRANDE",0,2018,5,1,1,27
"Norte","CS VARGEM GRANDE",0,2018,6,31,5,163
"Norte","CS VARGEM GRANDE",0,2018,7,21,7,125
"Norte","CS VARGEM PEQUENA",0,2018,4,37,27,60
"Norte","CS VARGEM PEQUENA",0,2018,5,44,41,149
"Norte","CS VARGEM PEQUENA",0,2018,6,45,52,117
"Norte","CS VARGEM PEQUENA",0,2018,7,1,1,44
"Sul","CS ALTO RIBEIRÃO",0,2018,4,18,13,192
"Sul","CS ALTO RIBEIRÃO",0,2018,5,36,23,288
"Sul","CS ALTO RIBEIRÃO",0,2018,6,3,1,84
"Sul","CS ALTO RIBEIRÃO",0,2018,7,12,9,155
"Sul","CS ARMAÇÃO",0,2018,4,35,6,199
"Sul","CS ARMAÇÃO",0,2018,5,26,4,193
"Sul","CS ARMAÇÃO",0,2018,6,33,12,218
"Sul","CS ARMAÇÃO",0,2018,7,39,11,335
"Sul","CS ARMAÇÃO",1,2018,4,29,3,164
"Sul","CS ARMAÇÃO",1,2018,5,27,6,188
"Sul","CS ARMAÇÃO",1,2018,6,37,13,179
"Sul","CS ARMAÇÃO",1,2018,7,36,15,272
"Sul","CS ARMAÇÃO",2,2018,4,4,0,30
"Sul","CS ARMAÇÃO",2,2018,5,3,1,11
"Sul","CS ARMAÇÃO",2,2018,6,9,4,57
"Sul","CS ARMAÇÃO",2,2018,7,6,2,25
"Sul","CS CAIEIRA BARRA DO SUL",0,2018,4,0,0,78
"Sul","CS CAIEIRA BARRA DO SUL",0,2018,5,4,0,42
"Sul","CS CAIEIRA BARRA DO SUL",0,2018,6,2,2,21
"Sul","CS CAIEIRA BARRA DO SUL",0,2018,7,8,3,38
"Sul","CS CAMPECHE",0,2018,4,15,10,88
"Sul","CS CAMPECHE",0,2018,5,7,4,26
"Sul","CS CAMPECHE",0,2018,6,37,24,337
"Sul","CS CAMPECHE",0,2018,7,25,13,122
"Sul","CS CAMPECHE",1,2018,4,13,9,159
"Sul","CS CAMPECHE",1,2018,5,6,3,22
"Sul","CS CAMPECHE",1,2018,6,36,20,271
"Sul","CS CAMPECHE",1,2018,7,38,25,148
"Sul","CS CANTO DA LAGOA",0,2018,4,7,5,59
"Sul","CS CANTO DA LAGOA",0,2018,5,8,6,40
"Sul","CS CANTO DA LAGOA",0,2018,6,15,9,77
"Sul","CS CANTO DA LAGOA",0,2018,7,9,5,80
"Sul","CS CARIANOS",0,2018,4,19,19,242
