"DISTRITO","UNIDADE","TRIMESTRE","TIPO","VALOR"
"Norte","CS INGLESES","2017 Q3","PERCENTUAL_GEST_ODONTO",44.6601941747573
"Centro","CS ITACORUBI","2017 Q3","PERCENTUAL_GEST_ODONTO",32.258064516129
"Continente","CS JARDIM ATLÂNTICO","2017 Q3","PERCENTUAL_GEST_ODONTO",0
"Centro","CS JOÃO PAULO","2017 Q3","PERCENTUAL_GEST_ODONTO",62.5
"Norte","CS JURERE","2017 Q3","PERCENTUAL_GEST_ODONTO",11.1111111111111
"Sul","CS LAGOA DA CONCEIÇÃO","2017 Q3","PERCENTUAL_GEST_ODONTO",23.5294117647059
"Continente","CS MONTE CRISTO","2017 Q3","PERCENTUAL_GEST_ODONTO",21.1267605633803
"Centro","CS MONTE SERRAT","2017 Q3","PERCENTUAL_GEST_ODONTO",11.7647058823529
"Sul","CS MORRO DAS PEDRAS","2017 Q3","PERCENTUAL_GEST_ODONTO",31.5789473684211
"Continente","CS NOVO CONTINENTE","2017 Q3","PERCENTUAL_GEST_ODONTO",36
"Centro","CS PANTANAL","2017 Q3","PERCENTUAL_GEST_ODONTO",28.5714285714286
"Sul","CS PANTANO DO SUL","2017 Q3","PERCENTUAL_GEST_ODONTO",22.2222222222222
"Norte","CS PONTA DAS CANAS","2017 Q3","PERCENTUAL_GEST_ODONTO",15.3846153846154
"Centro","CS PRAINHA","2017 Q3","PERCENTUAL_GEST_ODONTO",25
"Norte","CS RATONES","2017 Q3","PERCENTUAL_GEST_ODONTO",12.5
"Sul","CS RIBEIRÃO DA ILHA","2017 Q3","PERCENTUAL_GEST_ODONTO",50
"Sul","CS RIO TAVARES","2017 Q3","PERCENTUAL_GEST_ODONTO",17.3913043478261
"Norte","CS RIO VERMELHO","2017 Q3","PERCENTUAL_GEST_ODONTO",28.5714285714286
"Centro","CS SACO DOS LIMÕES","2017 Q3","PERCENTUAL_GEST_ODONTO",18.5185185185185
"Norte","CS SACO GRANDE","2017 Q3","PERCENTUAL_GEST_ODONTO",22
"Norte","CS SANTINHO","2017 Q3","PERCENTUAL_GEST_ODONTO",38.0952380952381
"Norte","CS SANTO ANTONIO LISBOA","2017 Q3","PERCENTUAL_GEST_ODONTO",15
"Continente","CS SAPE","2017 Q3","PERCENTUAL_GEST_ODONTO",35.7142857142857
"Sul","CS TAPERA","2017 Q3","PERCENTUAL_GEST_ODONTO",13.1578947368421
"Centro","CS TRINDADE","2017 Q3","PERCENTUAL_GEST_ODONTO",12.9032258064516
"Norte","CS VARGEM GRANDE","2017 Q3","PERCENTUAL_GEST_ODONTO",46.1538461538462
"Norte","CS VARGEM PEQUENA","2017 Q3","PERCENTUAL_GEST_ODONTO",0
"Continente","CS VILA APARECIDA","2017 Q3","PERCENTUAL_GEST_ODONTO",36.8421052631579
"Continente","CS ABRAÃO","2017 Q4","PERCENTUAL_GEST_ODONTO",0
"Centro","CS AGRONÔMICA","2017 Q4","PERCENTUAL_GEST_ODONTO",26.6666666666667
"Sul","CS ALTO RIBEIRÃO","2017 Q4","PERCENTUAL_GEST_ODONTO",33.3333333333333
"Sul","CS ARMAÇÃO","2017 Q4","PERCENTUAL_GEST_ODONTO",39.1304347826087
"Continente","CS BALNEÁRIO","2017 Q4","PERCENTUAL_GEST_ODONTO",42.8571428571429
"Norte","CS BARRA DA LAGOA","2017 Q4","PERCENTUAL_GEST_ODONTO",55
"Norte","CS CACHOEIRA BOM JESUS","2017 Q4","PERCENTUAL_GEST_ODONTO",48.1481481481481
"Sul","CS CAIEIRA BARRA DO SUL","2017 Q4","PERCENTUAL_GEST_ODONTO",50
"Sul","CS CAMPECHE","2017 Q4","PERCENTUAL_GEST_ODONTO",20
